,id,title,author,genre,story,score,thumbnail_url,platform
363,363,오른눈이 보는 세계,코어,"스토리, 판타지","“인간은 반드시 행복해야 한다.”
칩으로 감정을 통제하는 사회. 그리고 칩을 해킹하여 환각을 보게 하는 해커. 
부정적인 감정이 금지된 세상에서 우울증을 앓고 있는 화이트해커 아연의 생존기",9.973,https://shared-comic.pstatic.net/thumb/webtoon/751992/thumbnail/thumbnail_IMAG06_5dd61dff-e5dc-4794-a96f-e7962c6d309b.jpg,네이버 웹툰
364,364,두근두근 연극부,김태경,"스토리, 로맨스","&lt;결계녀&gt; 김태경 작가 신작. 전학생 김승민, 여자친구를 사귀기 위해 예쁜 애들이 많은 연극부로 직행한다. 그 연극부는 수많은 남학생들이 부원들의 미모에 속아서 들어왔다가 버티지 못하고 탈퇴해서 인원이 딱 1명 모자랐는데..! ""우리 연극부에 들어올래? 1년간 연극부에서 버티면 부원들 중 누군가가 여친이 되어줄게♡""",9.334999999999999,https://shared-comic.pstatic.net/thumb/webtoon/758663/thumbnail/thumbnail_IMAG06_49280efd-86dd-4c2f-a0c5-b03797a01603.jpg,네이버 웹툰
365,365,잉여특공대,물꾹 / 찰떡,"스토리, 판타지",뽀짝이 특공대원들의 슈퍼히어로맨스!,9.834,https://shared-comic.pstatic.net/thumb/webtoon/740387/thumbnail/thumbnail_IMAG06_7cac6121-ebf8-45d7-9ace-682f24eeca11.jpg,네이버 웹툰
366,366,오늘 밤만 재워줘,해번 / 유나나,"스토리, 로맨스","28살 모태솔로 감규리, 드디어 남자에게 '고백'을 받았는데... 
술에 취해 기억이 나지 않는다?!",9.829,https://shared-comic.pstatic.net/thumb/webtoon/759641/thumbnail/thumbnail_IMAG06_6b40f59f-57b4-4b07-9d8b-0d0596e8583f.jpg,네이버 웹툰
367,367,"라커, 오프너",만취 / 바른꽃,"스토리, 판타지","무엇이든 '여는' 능력을 가진 김도빈 형사 앞에, 무엇이든 '잠가버리는' 범죄자 '라커'가 나타난다.
중요한 진실, 하나뿐인 관계, 천재적인 재능이 속수무책으로 '잠겨버리는' 사건들 앞에 '라커'를 잡기 위한 '오프너'의 분투...!",9.913,https://shared-comic.pstatic.net/thumb/webtoon/761514/thumbnail/thumbnail_IMAG06_71483918-e75a-4a3c-9a96-cc93242abeb6.jpg,네이버 웹툰
368,368,신이 담긴 아이,건치 / 호진,"스토리, 판타지","이승과 저승 사이, 신의 피가 흐르는 아이들을 위한 무당학교에
'예언의 아이'가 나타났다.",9.937000000000001,https://shared-comic.pstatic.net/thumb/webtoon/745652/thumbnail/thumbnail_IMAG06_e0386bee-ce21-4826-b25c-5aabce7b9879.jpg,네이버 웹툰
369,369,소녀 해미,이현우,"스토리, 스릴러","""난 당신을 지옥으로 보낼거야"" 복수를 꿈꾸는 소녀 해미. 그녀는 천재적인 머리를 활용하여 재벌가 손녀딸로 신분 세탁을 하는데...",9.874,https://shared-comic.pstatic.net/thumb/webtoon/745409/thumbnail/thumbnail_IMAG06_79a112d8-f2c8-454f-aca2-796aaecfb2ca.jpg,네이버 웹툰
370,370,마도,이밤,"스토리, 판타지","""그 얼굴, 안 쓸 거면 나줘!""
자신의 운명을 모른 채 마법사와 위험한 계약을 한 주인남.
악마를 잡는 마녀의 등장과 엉망이 돼버린 대학생활.
신박한 오컬트 액션 스릴러!
위험한 변신이 시작된다.",9.714000000000002,https://shared-comic.pstatic.net/thumb/webtoon/737021/thumbnail/thumbnail_IMAG06_9a0fefbe-e6ec-4f62-867d-b0d1e9a4973f.jpg,네이버 웹툰
371,371,여름은 뜨겁다,JQ / ZK,"스토리, 드라마","'어둠을 삼키는 흑룡’ 이라 불리는 동대정고 최강자  ‘신서용’.
그의 앞에 둘도 없는 친구  ‘피를 뿌리는 적룡, 한대용＇의 여동생 ‘한여름’이 나타난다. 
예측불허 여름과 얽히며 벌어지는 학원 코믹 성장물",9.949,https://shared-comic.pstatic.net/thumb/webtoon/747370/thumbnail/thumbnail_IMAG06_081d0b7b-777a-4fe1-b39d-925acccfde5a.jpg,네이버 웹툰
372,372,위험한 신입사원,박수정 / Jiya,"스토리, 로맨스","신입사원만 기다려온 입사 3년 차 그녀 정유림
그런데 왜 하필 회장님의 친손자가 신입 막내라니?!
신입사원 연하남과 위험천만 비밀 연애가 시작된다.",9.632000000000001,https://shared-comic.pstatic.net/thumb/webtoon/729883/thumbnail/thumbnail_IMAG06_1deb1098-5a92-43ed-9bc9-eadeb8d9b9a9.jpg,네이버 웹툰
373,373,데이즈,양수,"스토리, 스릴러","대한민국 최고 재벌가의 첫째 아들이자 집안의 망나니 ‘한지한’은 오늘도
거하게 취했다. 오랜만에 아버지의 부름을 받고 집으로 갔지만
그 곳에는 아버지와 동생의 시체, 홀로 살아 있는 막내 ‘한지훈’만이 있었다.
어제까지 어리광 부리던 막내가 수많은 경찰들 앞에서 손가락을 들어
‘한지한’을 범인으로 지목하는데?!",8.699999999999998,https://shared-comic.pstatic.net/thumb/webtoon/752462/thumbnail/thumbnail_IMAG06_80159786-4a32-491c-8b77-373d58d94e4a.jpg,네이버 웹툰
374,374,스트러글,윤준식 / 백지운,"스토리, 액션","친구의 억울한 죽음 이후 도망치듯 강원도 오지의 대안학교로 간 은가비.
그곳에서 비밀스러운 수련법을 받아들이게 되는데... 은가비의 본격적인 복수가 시작된다!",9.328999999999999,https://shared-comic.pstatic.net/thumb/webtoon/758674/thumbnail/thumbnail_IMAG06_3f399e53-3a86-4635-a89a-040719cefc5e.jpg,네이버 웹툰
375,375,죽여주는 탐정님,뻥 / 조은,"스토리, 스릴러","타인의 거짓말을 꿰뚫어보는 고교생 백아. 
거짓으로 사건을 만들어내는 탐정을 만나고, 
세상에 그의 진실을 밝혀내야 한다.",9.853,https://shared-comic.pstatic.net/thumb/webtoon/744313/thumbnail/thumbnail_IMAG06_80181352-8a14-4c52-b9d9-70633cbafa53.jpg,네이버 웹툰
376,376,샤인 스타,김현,"스토리, 로맨스","전학생 선유별이 좋아하는 김샤인은 학교에서 유명한 달리기 스타. 잘생긴 얼굴에 뛰어난 운동신경!
‘내가 지금보다 조금 더 빨라지면, 그래서 김샤인을 앞지를 정도로 빨라진다면 나를 바라봐 줄까?'
달리기보다 잿밥에 관심 많은 달리기 천재 선유별과 오로지 달리기밖에 모르는 달리기 바보 김샤인, 육상부 소년소녀들의 좌충우돌 청춘 성장 드라마.",9.942,https://shared-comic.pstatic.net/thumb/webtoon/758665/thumbnail/thumbnail_IMAG06_65e50090-7bf5-4b40-aac7-67234a026632.jpg,네이버 웹툰
377,377,호시탐탐,박현정,"스토리, 로맨스","윗집엔 호랑이? 아랫집엔 곰! 
그 녀석이 이사 온 후 이상한 일이 생긴다. 
곰과 호랑이의 시대를 넘은 로맨스, 그 결말은?!",9.725,https://shared-comic.pstatic.net/thumb/webtoon/758145/thumbnail/thumbnail_IMAG06_d70bb8a1-69e4-4a74-92e2-77a8737dd1e2.jpg,네이버 웹툰
